"","X","Station","Lat","Long","MAP"
"62",62,"SAVEGRE VALLEY 3",9.5486,-83.7915,203.5
"63",63,"SAVEGRE VALLEY 4",9.5502,-83.791,191.666666666667
"64",64,"SAVEGRE VALLEY 5R",9.5516,-83.7976,193.416666666667
"65",65,"SAVEGRE VALLEY 6",9.5453,-83.7956,202.25
"66",66,"SAVEGRE VALLEY 7",9.5412,-83.7977,209.25
"67",67,"SAVEGRE VALLEY 8",9.5465,-83.8001,205
"68",68,"SAVEGRE VALLEY 10",9.5514,-83.7927,193.416666666667
"69",69,"SAVEGRE VALLEY 11",9.5453,-83.7956,202.25
"70",70,"SAVEGRE VALLEY 16",9.5502,-83.791,191.666666666667
"71",71,"SAVEGRE VALLEY 18",9.5514,-83.7927,193.416666666667
"72",72,"SAVEGRE VALLEY 19",9.5413,-83.7977,209.25
"73",73,"SAVEGRE VALLEY CAMP2",9.5512,-83.791,191.666666666667
"74",74,"SAVEGRE VALLEY CAMP3",9.5505,-83.7995,193.416666666667
"75",75,"SAVEGRE VALLEY CAMP4",9.5675,-83.7942,187.333333333333
"76",76,"SAVEGRE VALLEY CATAR15",9.539,-83.8181,195.666666666667
"77",77,"SAVEGRE VALLEY CATAR32",9.5392,-83.8181,195.666666666667
"78",78,"SAVEGRE VALLEY CHANCHOS28",9.6019,-83.8212,176.75
"79",79,"SAVEGRE VALLEY CHANCHOS29",9.5904,-83.8171,182.166666666667
"80",80,"SAVEGRE VALLEY CHANCHOS30",9.5781,-83.8145,180.166666666667
"81",81,"SAVEGRE VALLEY CHANCHOS31",9.5807,-83.817,175.5
"82",82,"SAVEGRE VALLEY CHANCHOS33",9.5996,-83.8197,176.833333333333
"83",83,"SAVEGRE VALLEY DANTA4",9.5538,-83.8075,191.083333333333
"84",84,"SAVEGRE VALLEY DANTICA14",9.5847,-83.8011,172.833333333333
"85",85,"SAVEGRE VALLEY DANTICA15",9.5858,-83.7933,170.166666666667
"86",86,"SAVEGRE VALLEY DANTICA28",9.5864,-83.8011,172.833333333333
"87",87,"SAVEGRE VALLEY DANTICA29",9.5855,-83.802,172.833333333333
"88",88,"SAVEGRE VALLEY FINCA3",9.5512,-83.8074,191.083333333333
"89",89,"SAVEGRE VALLEY FINCA17",9.5517,-83.8072,191.083333333333
"90",90,"SAVEGRE VALLEY FINCA20",9.5517,-83.8072,191.083333333333
"91",91,"SAVEGRE VALLEY FINCA22",9.5521,-83.8167,185.583333333333
"92",92,"SAVEGRE VALLEY LAGOS23",9.5577,-83.7811,177.666666666667
"93",93,"SAVEGRE VALLEY LAGOS24",9.5589,-83.7883,191
"94",94,"SAVEGRE VALLEY LAGOS25",9.5631,-83.7968,192.5
"95",95,"SAVEGRE VALLEY SARAH",9.5391,-83.8184,195.666666666667
"96",96,"SAVEGRE VALLEY TORRES21",9.5541,-83.7767,177.666666666667
"97",97,"SAVEGRE VALLEY TORRES22",9.5534,-83.7788,177.666666666667
"98",98,"SAVEGRE VALLEY VUELTAS26",9.6145,-83.8564,173.083333333333
"99",99,"SAVEGRE VALLEY VUELTAS27",9.6193,-83.8545,170.083333333333
"100",100,"SAVEGRE VALLEY WEST2",9.5537,-83.8083,191.083333333333
"101",101,"SAVEGRE VALLEY WEST3",9.554,-83.8084,184.083333333333
"102",102,"SAVEGRE VALLEY WEST4",9.5536,-83.8085,184.083333333333
"103",103,"SAVEGRE VALLEY WEST23",9.5536,-83.8085,184.083333333333
"104",104,"TAPANTI T1-2",9.729,-83.7763,268.833333333333
"105",105,"TAPANTI T03-04",9.7175,-83.781,277.833333333333
"106",106,"TAPANTI T5-6",9.7068,-83.7793,262.333333333333
"107",107,"TAPANTI T07-08",9.6954,-83.7821,259.333333333333
"108",108,"TAPANTI T7-8",9.6954,-83.7821,259.333333333333
"109",109,"TAPANTI T9-10",9.6963,-83.7714,255.75
"110",110,"TAPANTI T13-14",9.7082,-83.7917,280.083333333333
"111",111,"TAPANTI T15-16",9.6872,-83.8686,169.416666666667
"112",112,"TAPANTI T17-18",9.6994,-83.8625,210.75
"113",113,"TAPANTI T19-20",9.712,-83.8577,257.916666666667
"114",114,"TAPANTI T21-22",9.6958,-83.8583,235.833333333333
"115",115,"TAPANTI T23-24",9.6582,-83.8315,214.333333333333
"116",116,"TAPANTI T105",9.681,-83.8011,250.083333333333
"117",117,"TAPANTI T106",9.6856,-83.795,338.916666666667
"118",118,"TAPANTI T107",9.6867,-83.7908,353.75
"119",119,"RCB1",9.582,-85.101,200.333333333333
"120",120,"RCB2",9.5867,-85.0957,203.166666666667
"121",121,"RCB3",9.5887,-85.0939,203.166666666667
"122",122,"RCB4",9.5805,-85.109,200.916666666667
"123",123,"RCB5",9.5807,-85.1132,200.916666666667
"124",124,"RCB6",9.5897,-85.1101,205
"125",125,"LC1",9.7001,-84.3921,226.666666666667
"126",126,"LC2",9.699,-84.3855,232.916666666667
"127",127,"LC3",9.692,-84.3768,236.25
"128",128,"LC4",9.708,-84.4008,235.75
"129",129,"LC5",9.7064,-84.3903,230.333333333333
"130",130,"PNC1",9.7983,-84.5969,182.833333333333
"131",131,"PNC2",9.7983,-84.5979,182.833333333333
"132",132,"PNC3",9.7753,-84.601,177.833333333333
"133",133,"PNC4",9.7744,-84.6019,184.666666666667
"134",134,"Q1-2",8.6397,-83.7226,291.083333333333
"135",135,"Q10",8.638,-83.7175,291.083333333333
"136",136,"Q3",8.6368,-83.723,291.083333333333
"137",137,"Q4",8.6408,-83.7282,295.5
"138",138,"Q5-6",8.6388,-83.7268,295.5
"139",139,"Q7",8.6371,-83.7253,295.5
"140",140,"Q8",8.6348,-83.722,291.083333333333
"141",141,"Q9",8.6366,-83.7206,291.083333333333
