"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"459","Canis latrans","4",9.5501,-83.7908,TRUE
"460","Canis latrans","4",9.5501,-83.7908,TRUE
"461","Canis latrans","4",9.5501,-83.7908,TRUE
"462","Canis latrans","4",9.5501,-83.7908,TRUE
"463","Canis latrans","4",9.5501,-83.7908,TRUE
"464","Canis latrans","4",9.5501,-83.7908,TRUE
"465","Canis latrans","4",9.5501,-83.7908,TRUE
"466","Canis latrans","4",9.5502,-83.791,TRUE
"467","Canis latrans","4",9.5502,-83.791,TRUE
"468","Canis latrans","4",9.5502,-83.791,TRUE
"469","Canis latrans","4",9.5502,-83.791,TRUE
"470","Canis latrans","4",9.5502,-83.791,TRUE
"471","Canis latrans","4",9.5502,-83.791,TRUE
"472","Canis latrans","4",9.5502,-83.791,TRUE
"473","Canis latrans","4",9.5502,-83.791,TRUE
"474","Canis latrans","4",9.5502,-83.791,TRUE
"475","Canis latrans","4",9.5502,-83.791,TRUE
"476","Canis latrans","4",9.5502,-83.791,TRUE
"477","Canis latrans","4",9.5502,-83.791,TRUE
"478","Canis latrans","4",9.5502,-83.791,TRUE
"479","Canis latrans","4",9.5502,-83.791,TRUE
"480","Canis latrans","4",9.5502,-83.791,TRUE
"481","Canis latrans","4",9.5502,-83.791,TRUE
"482","Canis latrans","4",9.5502,-83.791,TRUE
"483","Canis latrans","4",9.5502,-83.791,TRUE
"484","Canis latrans","4",9.5502,-83.791,TRUE
"485","Canis latrans","4",9.5502,-83.791,TRUE
"486","Canis latrans","4",9.5502,-83.791,TRUE
"487","Canis latrans","4",9.5502,-83.791,TRUE
"488","Canis latrans","4",9.5502,-83.791,TRUE
"489","Canis latrans","4",9.5502,-83.791,TRUE
"490","Canis latrans","4",9.5502,-83.791,TRUE
"491","Canis latrans","4",9.5502,-83.791,TRUE
"492","Canis latrans","4",9.5502,-83.791,TRUE
"493","Canis latrans","4",9.5502,-83.791,TRUE
"494","Canis latrans","4",9.5502,-83.791,TRUE
"495","Canis latrans","4",9.5502,-83.791,TRUE
"496","Canis latrans","4",9.5502,-83.791,TRUE
"497","Canis latrans","4",9.5502,-83.791,TRUE
"498","Canis latrans","4",9.5502,-83.791,TRUE
"499","Canis latrans","4",9.5502,-83.791,TRUE
"500","Canis latrans","4",9.5502,-83.791,TRUE
"501","Canis latrans","4",9.5502,-83.791,TRUE
"502","Canis latrans","4",9.5502,-83.791,TRUE
"503","Canis latrans","4",9.5502,-83.791,TRUE
"504","Canis latrans","4",9.5502,-83.791,TRUE
"505","Canis latrans","4",9.5502,-83.791,TRUE
"506","Canis latrans","4",9.5502,-83.791,TRUE
"507","Canis latrans","4",9.5502,-83.791,TRUE
"508","Canis latrans","4",9.5502,-83.791,TRUE
"509","Canis latrans","4",9.5502,-83.791,TRUE
"510","Canis latrans","4",9.5502,-83.791,TRUE
"511","Canis latrans","4",9.5502,-83.791,TRUE
"512","Canis latrans","4",9.5502,-83.791,TRUE
"513","Canis latrans","4",9.5502,-83.791,TRUE
"514","Canis latrans","4",9.5502,-83.791,TRUE
"515","Canis latrans","4",9.5502,-83.791,TRUE
"516","Canis latrans","4",9.5502,-83.791,TRUE
"517","Canis latrans","4",9.5502,-83.791,TRUE
"518","Canis latrans","4",9.5502,-83.791,TRUE
"519","Canis latrans","4",9.5502,-83.791,TRUE
"520","Canis latrans","4",9.5502,-83.791,TRUE
"521","Canis latrans","4",9.5502,-83.791,TRUE
"522","Canis latrans","4",9.5502,-83.791,TRUE
"523","Canis latrans","4",9.5502,-83.791,TRUE
"524","Canis latrans","4",9.5502,-83.791,TRUE
"525","Canis latrans","4",9.5502,-83.791,TRUE
"526","Canis latrans","4",9.5502,-83.791,TRUE
"527","Canis latrans","4",9.5502,-83.791,TRUE
"528","Canis latrans","4",9.5502,-83.791,TRUE
"529","Canis latrans","4",9.5502,-83.791,TRUE
"530","Canis latrans","4",9.5502,-83.791,TRUE
"531","Canis latrans","4",9.5502,-83.791,TRUE
"532","Canis latrans","4",9.5502,-83.791,TRUE
"533","Canis latrans","4",9.5501,-83.7906,TRUE
"534","Canis latrans","4",9.5501,-83.7906,TRUE
"535","Canis latrans","4",9.5502,-83.791,TRUE
"536","Canis latrans","4",9.5502,-83.791,TRUE
"537","Canis latrans","4",9.5502,-83.791,TRUE
"538","Canis latrans","4",9.5502,-83.791,TRUE
"539","Canis latrans","4",9.5502,-83.791,TRUE
"541","Canis latrans","4",9.5502,-83.791,TRUE
"542","Canis latrans","4",9.5502,-83.791,TRUE
"544","Canis latrans","4",9.5502,-83.791,TRUE
"545","Canis latrans","4",9.5502,-83.791,TRUE
"546","Canis latrans","4",9.5502,-83.791,TRUE
"547","Canis latrans","4",9.5502,-83.791,TRUE
"548","Canis latrans","4",9.5502,-83.791,TRUE
"549","Canis latrans","4",9.5502,-83.791,TRUE
"551","Canis latrans","4",9.5502,-83.791,TRUE
"552","Canis latrans","4",9.5502,-83.791,TRUE
"553","Canis latrans","4",9.5502,-83.791,TRUE
"554","Canis latrans","4",9.5502,-83.791,TRUE
"555","Canis latrans","4",9.5502,-83.791,TRUE
"558","Canis latrans","4",9.5502,-83.791,TRUE
"560","Canis latrans","4",9.5502,-83.791,TRUE
"562","Canis latrans","4",9.5502,-83.791,TRUE
"563","Canis latrans","4",9.5502,-83.791,TRUE
"564","Canis latrans","4",9.5502,-83.791,TRUE
"565","Canis latrans","4",9.5502,-83.791,TRUE
"566","Canis latrans","4",9.5502,-83.791,TRUE
"567","Canis latrans","4",9.5502,-83.791,TRUE
"569","Canis latrans","4",9.5502,-83.791,TRUE
"570","Canis latrans","4",9.5502,-83.791,TRUE
"571","Canis latrans","4",9.5502,-83.791,TRUE
"572","Canis latrans","4",9.5502,-83.791,TRUE
