"","cent.Species","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"10453","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10454","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10456","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10457","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10459","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10464","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10465","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10466","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10468","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10469","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10473","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10474","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10479","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10481","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10482","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10483","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10487","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10488","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10490","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10492","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10495","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10501","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10502","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10503","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10504","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10505","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10506","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10514","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10518","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10530","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10532","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10533","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10536","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10538","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10545","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10546","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10549","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10551","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
