"","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"215","A1-2",9.3261,-83.6218,TRUE
"216","A1-2",9.3261,-83.6218,TRUE
"217","A1-2",9.3261,-83.6218,TRUE
"218","A1-2",9.3261,-83.6218,TRUE
"219","A1-2",9.3261,-83.6218,TRUE
"220","A1-2",9.3261,-83.6218,TRUE
"221","A1-2",9.3261,-83.6218,TRUE
"222","A1-2",9.3261,-83.6218,TRUE
"223","A1-2",9.3261,-83.6218,TRUE
"224","A1-2",9.3261,-83.6218,TRUE
"225","A1-2",9.3261,-83.6218,TRUE
"226","A1-2",9.3261,-83.6218,TRUE
"227",NA,9.3367,-83.6287,TRUE
"228",NA,9.3367,-83.6287,TRUE
"229",NA,9.3367,-83.6287,TRUE
"230",NA,9.3367,-83.6287,TRUE
"231",NA,9.3367,-83.6287,TRUE
"232",NA,9.3367,-83.6287,TRUE
"233",NA,9.3367,-83.6287,TRUE
"234",NA,9.3367,-83.6287,TRUE
"235",NA,9.3367,-83.6287,TRUE
"236",NA,9.3367,-83.6287,TRUE
"237",NA,9.3367,-83.6287,TRUE
"238",NA,9.3367,-83.6287,TRUE
"239",NA,9.3367,-83.6287,TRUE
"240",NA,9.3367,-83.6287,TRUE
"241",NA,9.3367,-83.6287,TRUE
"242",NA,9.3367,-83.6287,TRUE
"243",NA,9.3367,-83.6287,TRUE
"244","A1-2",9.3367,-83.6287,TRUE
"245","A1-2",9.3367,-83.6287,TRUE
"246","A1-2",9.3367,-83.6287,TRUE
"247","A1-2",9.3367,-83.6287,TRUE
"248","A1-2",9.3367,-83.6287,TRUE
"249","A1-2",9.3367,-83.6287,TRUE
"250","A1-2",9.3367,-83.6287,TRUE
"251","A1-2",9.3367,-83.6287,TRUE
"252","A1-2",9.3367,-83.6287,TRUE
"253","A11-12",9.3344,-83.6265,TRUE
"254","A11-12",9.3344,-83.6265,TRUE
"255","A11-12",9.3344,-83.6265,TRUE
"256","A11-12",9.3344,-83.6265,TRUE
"257","A11-12",9.3344,-83.6265,TRUE
"258","A11-12",9.3344,-83.6265,TRUE
"259","A11-12",9.3344,-83.6265,TRUE
"260","A11-12",9.3344,-83.6265,TRUE
"261","A11-12",9.3344,-83.6265,TRUE
"262","A11-12",9.3344,-83.6265,TRUE
"263","A11-12",9.3344,-83.6265,TRUE
"264","A11-12",9.3344,-83.6265,TRUE
"265","A11-12",9.3344,-83.6265,TRUE
"266","A11-12",9.3344,-83.6265,TRUE
"267","A11-12",9.3344,-83.6265,TRUE
"268","A11-12",9.3344,-83.6265,TRUE
"269","A11-12",9.3344,-83.6265,TRUE
"270","A11-12",9.3344,-83.6265,TRUE
"271","A11-12",9.3344,-83.6265,TRUE
"272","A11-12",9.3344,-83.6265,TRUE
"273","A11-12",9.3344,-83.6265,TRUE
