"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"58413","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58417","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58419","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58422","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58424","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58439","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58442","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58451","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58458","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58469","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58509","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58527","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58534","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58559","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58567","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58568","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58569","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58571","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58572","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58574","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58578","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58580","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58581","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58584","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58590","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58593","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58596","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58597","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58601","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58602","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58603","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58605","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58608","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58609","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58610","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58611","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58614","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58615","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58617","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58620","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58622","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58624","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58625","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58631","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58632","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58636","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58637","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58652","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58653","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58655","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58656","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58657","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58658","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58660","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58663","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58666","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58669","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58676","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58677","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58682","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58726","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58727","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58728","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58789","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58790","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58791","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58792","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58793","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58794","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58843","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58844","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58845","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58894","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58895","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58896","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58918","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58919","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58920","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58963","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58964","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58965","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58984","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58985","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58986","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58987","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58988","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"58989","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59059","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59060","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59061","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59086","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59087","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59088","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59092","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59093","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59094","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59311","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59312","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59313","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59317","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59318","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59319","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59326","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59327","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59328","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59332","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59333","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59334","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59359","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59360","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59361","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59485","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59486","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59487","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59668","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59669","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59670","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59683","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
