"Survey","Estacao","Y","X","start","end","X10.29.2020","X10.30.2020","X10.31.2020","X11.1.2020","X11.2.2020","X11.3.2020","X11.4.2020","X11.5.2020","X11.6.2020","X11.7.2020","X11.8.2020","X11.9.2020","X11.10.2020","X11.11.2020","X11.12.2020","X11.13.2020","X11.14.2020","X11.15.2020","X11.16.2020","X11.17.2020","X11.18.2020","X11.19.2020","X11.20.2020","X11.21.2020","X11.22.2020","X11.23.2020","X11.24.2020","X11.25.2020","X11.26.2020","X11.27.2020","X11.28.2020","X11.29.2020","X11.30.2020","X12.1.2020","X12.2.2020","X12.3.2020","X12.4.2020","X12.5.2020","X12.6.2020","X12.7.2020","X12.8.2020","X12.9.2020","X12.10.2020","X12.11.2020","X12.12.2020","X12.13.2020","X12.14.2020"
"GBR","RBG54",-12.538747,-63.399795,"4/11/2020","6/12/2020",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG60",-12.568403,-63.21356,"5/11/2020","6/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG61",-12.568749,-63.232696,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG63",-12.570261,-63.249634,"5/11/2020","6/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG65",-12.55408,-63.24052,"5/11/2020","6/11/2020",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR","RBG66",-12.549829,-63.226998,"5/11/2020","6/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG67",-12.551489,-63.205205,"5/11/2020","7/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG70",-12.535981,-63.230252,"6/11/2020","7/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG75",-12.553764,-63.273438,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG80",-12.555822,-63.308208,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG81",-12.541601,-63.315,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG83",-12.56485,-63.264215,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG84",-12.632989,-63.397738,"7/11/2020","8/12/2020",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
