"date","lat","lon","hour","solar"
10-01-18,5.4109787,101.487992,1.61442955809475,6.28318370935261
10-02-18,5.380224,101.4199801,4.94364510627394,6.28318484873764
10-03-25,5.380224,101.4199801,2.05512519422332,6.28318386017554
9-10-13,5.3937242,101.4335148,0.410152374218667,6.28318329720291
9-10-21,5.3937242,101.4335148,5.38434074240251,6.28318499956057
9-12-09,5.3937242,101.4335148,5.231624432853,6.2831849472952
9-12-31,5.3937242,101.4335148,6.05629250442032,6.28318522952818
10-02-20,5.3808939,101.4367284,5.87303293296092,6.28318516680974
9-09-23,5.3792495,101.445761,1.52716309549504,6.28318367948674
10-01-01,5.3885556,101.4655582,5.60687022203178,6.28318507571867
10-01-19,5.3885556,101.4655582,1.91986217719376,6.28318381388335
10-01-19,5.3885556,101.4655582,5.27525766415286,6.28318496222816
